alert,destination-ip,destination-port,full_log,hostname,platform,priority,source-ip,source-port,time
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:20"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:21"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:21"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:22"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:22"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:23"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:23"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:24"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:24"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:25"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:25"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:26"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:26"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:27"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:27"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:28"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:28"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:29"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:29"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:30"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:30"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:31"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:31"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:32"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:32"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:33"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:33"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:34"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:34"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:35"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:35"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:36"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:36"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:37"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:37"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:38"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:38"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:39"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:39"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:40"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:40"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:41"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:41"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:42"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:42"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:44"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:44"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:45"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:45"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:46"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:46"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:47"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:47"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:48"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:48"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:49"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:49"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:50"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:50"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:51"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:51"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:52"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:52"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:53"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:53"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:54"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:54"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:55"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:55"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:56"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:56"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:57"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:57"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:58"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:58"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:59"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:59"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:00"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:00"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:01"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:01"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:02"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:02"
